docking_score,smile
-6.7,O=C(Nc1cc(Cl)c(Cl)cc1Cl)C1CC1
-7.8,O=C(Nc1ccccc1F)NC1CCCC1
-7.6,COc1ccc(Cl)cc1NC(=O)Nc1ncccn1
-8.8,COc1cc2cc(C(=O)O)[nH]c2cc1OCc1ccccc1
-7.0,Oc1c(Cl)cc(Cl)c2ccccc12
-7.2,Nc1ccccc1Oc1ccccc1N
-8.2,Cc1ccc(S(=O)(=O)NCCC(=O)Nc2nccs2)cc1
-7.9,CCn1c(SCc2cccnc2)nc2c1c(=O)n(C)c(=O)n2C
-8.5,CCOC(=O)[C@@H](CC)Sc1ncnc2c1cnn2-c1ccccc1
-8.2,CC(C)(C)c1ccc(-c2nnc(SCC(=O)O)o2)cc1
-7.7,COc1ccc(-c2noc(CCC(=O)NC(C)C)n2)cc1
-8.4,COC(=O)c1ccccc1N[C@@H]1OC(=O)c2c1ccc(OC)c2OC
-8.6,O=C(c1ccccc1)[C@@H](CN1CCCC1)c1ccccc1
-8.4,COc1ccccc1[C@H](O)c1nc2ccccc2n1C
-7.1,CC(C)CCNC(=O)Cc1ccc([N+](=O)[O-])cc1
-9.5,Nc1nonc1-c1nc2ccccc2n1Cc1ccccc1
-9.6,CN1C(=O)C(=Cc2ccc(N3CCCCC3)o2)C(=O)N(C)C1=S
-8.8,COc1ccc(OC)c(NC(=O)/C(=C/c2ccco2)/c2ccccc2)c1
-8.0,Cc1ccnc(NC(=S)NC(=O)c2ccc(F)cc2)c1
-9.0,Cc1cccc(C)c1NC(=S)NC(=O)c1cccc([N+](=O)[O-])c1C
-8.5,COc1ccc(C)cc1NC(=O)c1ccc(C)cc1Cl
-8.9,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1cccc(F)c1
-8.6,Cc1cccc(NC(=O)CNS(=O)(=O)c2ccc(Cl)cc2)c1
-7.1,COc1ccc(NC(=S)N2CCC(O)CC2)c(OC)c1
-8.7,CCc1cccc(NC(=O)[C@@H](C)Oc2ccc(Cl)cc2C)c1
-7.4,O=C(Nc1ccon1)c1cc(Br)ccc1Cl
-9.1,CCOC(=O)[C@@H]1CCCN1C(=O)c1ccc(c2ccccc2)cc1
-9.6,Cc1ccc(-c2nc(N)n(C(=O)c3ccccc3Cl)n2)cc1
-7.4,Cn1c2nc3n(c2c(=O)[nH]c1=O)CCCCS3
-8.2,O=C(Cc1cccs1)Nc1nnc(Cc2ccccc2)s1
-9.3,Cc1ccc(/C=C/C(=O)N2CCc3ccccc3C2)cc1
-6.8,COc1ccc(OC)c(NC(=O)C2CC2)c1
-8.4,Cc1c(C(=O)OC(C)C)sc(NC(=O)c2ccccc2)c1C(N)=O
-7.0,CCN(CC)C(=O)COc1ccc(Cl)cc1C
-8.2,CC(C)C(=O)N1N=C(c2ccccc2)C[C@@]1(O)C(F)(F)F
-8.4,COc1ccccc1N1CCN(C(=O)CCC2CCCC2)CC1
-8.9,Cc1cc(C)cc(C(=O)NC(=S)Nc2cccc(Cl)c2C)c1
-6.1,O=C(O)c1nc(Cl)c(Cl)cc1Cl
-8.1,CCOC(=O)c1ccc(COc2ccc([N+](=O)[O-])cc2)cc1
-9.2,CCCn1nnnc1NC(=O)c1ccc2ccccc2c1
-9.6,Cc1ccccc1c1nc2nc3ccccc3nc2n1C[C@H]1CCCO1
-7.3,CCCn1nnc(NC(=S)NC(=O)COc2ccccc2)n1
-9.4,CC1CCN(c2ccc(NC(=O)c3cccc(F)c3)cc2)CC1
-10.4,CCc1cccc2c(/C=C3\c4ccccc4NC3=O)cn(CC(N)=O)c21
-8.4,Cc1ccc(N(Cc2ccc(F)cc2)S(C)(=O)=O)cc1C
-7.9,C[C@H]1CN(C(=S)Nc2ccc(F)cc2F)C[C@H](C)O1
-8.4,C[C@@H](Sc1nc2ccccc2[nH]1)C(=O)Nc1cccc(Cl)c1
-8.4,Cn1c2c(ncn2CC(=O)Nc2ccc(O)cc2)c(=O)n(C)c1=O
-7.2,CC(=O)NC(=S)Nc1ccc(S(N)(=O)=O)cc1
-8.3,COc1ccccc1CNC(=O)COc1c(C)cccc1C
-8.6,O=C(CSc1nnc(-c2cccnc2)o1)N1CCCCCC1
-9.5,CCc1cccc(CC)c1NC(=O)c1cccc(NC(=O)C(C)C)c1
-10.3,Cc1cccc(Cn2c(N3CCN(c4ccccc4)CC3)nc3c2c(=O)[nH]c(=O)n3C)c1
-9.2,O=S(=O)(c1ccc(c2ccccc2)cc1)N1CCS[C@@H]1c1ccco1
-9.4,CCCc1cc2c(cc1OC(C)C)occ(c1ccc3c(c1)OCO3)c2=O
-9.4,CCOC(=O)C1=C(C)N=c2s/c(=C\C=C\c3ccccc3)/c(=O)n2[C@H]1c1cccs1
-10.0,COc1ccc(C(=O)N[C@@H](Nc2ccccc2Cl)C(=O)c2ccccc2)cc1
-10.9,Cc1c2cc(Cl)c(C)cc2oc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccc(C)n2)cc1
-9.0,CCOC(=O)c1c(N)n(-c2cc(OC)cc(OC)c2)c2nc3ccccc3nc21
-9.4,CCS(=O)(=O)N1N=C(c2cccc(NS(=O)(=O)C)c2)C[C@H]1c1ccc(OC)c(OC)c1
-8.7,CC[C@H]1CCc2c(sc(NC(=O)c3ccc(OC(F)F)c(OC)c3)c2C(=O)OC)C1
-10.4,O=C(/C=C/c1ccc2c(c1)OCO2)Nc1nc(c2ccc(F)cc2F)cs1
-8.9,COc1ccc2c(c1)C(=CC(C)(C)N2S(=O)(=O)c1ccc(Cl)cc1)C
-8.9,Cc1ccc(S(=O)(=O)N[C@H](C)C(=O)NCc2ccccc2Cl)cc1
-9.4,Cc1ccc(OCC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c(C)c1
-9.6,Cc1cc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)ccc1Br
-8.1,COc1ccc(Cl)cc1N1C(=O)[C@H]2[C@@H](C1=O)C1(C(=O)C)c3ccccc3C2c2ccccc12
-8.8,Cn1c(SCC(=O)c2ccc(Br)cc2)nnc1c1cccc(N)c1
-7.8,C[C@@H](NS(=O)(=O)C)c1nnc2n1-c1ccc(Br)cc1C(=NC2)c1ccccc1Cl
-8.7,CCn1c(COc2ccc3c(c2)OCO3)nnc1SCC(=O)c1ccc(F)cc1
-7.3,COC(=O)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)C2(C(=O)C)c4ccccc4C3c3ccccc23)cc1
-9.5,CCOc1ccc([C@@H]2NC(=O)NC(=C2C(=O)OCc2ccc3c(c2)OCO3)C)cc1OC
