docking_score,smile
-5.8,O=C([C@@H]1CC12CCC2)N1CCc2ccccc21
-6.9,O=C1c2ccccc2C(=O)N1CSc1nc2ccccc2s1
-6.9,CC(=O)N1c2ccccc2[C@H](Nc2ccccc2)C[C@H]1C
-6.6,CC(=O)N1c2ccccc2[C@@H](Nc2ccccc2)C[C@@H]1C
-7.2,Cc1ccccc1N[C@H]1C[C@@H](C)Nc2c(C)cccc12
-6.5,O=C1OC(=N/C/1=C\c1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1
-5.3,CN1C(=O)C[C@H]2C[C@]1(C)Oc1ccccc12
-7.4,O=C1OC(=N/C/1=C/c1ccc2ccccc2c1)c1ccccc1Cl
-6.1,CC(C)(C)c1ccc(C2=N/C(=C/c3cccs3)/C(=O)O2)cc1
-6.7,O=C(O)[C@@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O
-5.9,Cc1ccccc1C[N+](C)(C)CCC(=O)c1ccccc1
-5.9,CCc1ccc([C@H](C)NC(=O)/C=C/c2ccc(OC)cc2)cc1
-6.7,O=C(Nc1ccccc1)Nc1ccccc1NC(=O)Nc1ccccc1
-6.8,O=C1N[C@@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-6.8,O=C1N[C@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-7.0,O=C(Cc1ccccc1)Nc1cccc(C(=O)Nc2nccs2)c1
-5.5,CCN(CC)c1ccc(Nc2cc(=O)[nH]c(=O)[nH]2)cc1
-6.8,O=C(Nc1cc([N+](=O)[O-])cc2c1C=Cc1ccccc1O2)c1ccco1
-6.1,Cc1[nH]c2c(c1CCNC(=O)c1ccnn1C)c(F)ccc2C
-6.6,COc1ccccc1C(=O)NCCc1c(C)[nH]c2c1c(F)ccc2C
-6.9,Cc1cc(C)n(c2ccc(Cl)c(C(=O)OCc3ccccc3)c2)n1
-6.4,CC(=O)Cn1c2ccccc2nc1SCCc1ccccc1
-5.5,CC(=O)CCn1c2ccccc2nc1SC1CCCCC1
-6.6,Cc1ccc(C(=O)Nc2sc3c(c2C(=O)N)CCCCC3)cc1C
-4.9,C[C@@H]1CCCCN1C(=O)c1cccs1
-5.3,O=C(NC[C@@H]1CCCO1)c1ccccc1Cl
-6.0,COc1ccc(CNC(=O)c2ccccc2Br)cc1
-5.3,CC[C@@H](C)NC(=O)Cc1ccc(OC)cc1
-5.3,COc1ccc(CC(=O)N2CCC[C@@H](C)C2)cc1
-5.0,CCN(Cc1ccccc1)C(=O)c1cccs1
-5.7,O=C(c1cccs1)N1CCN(c2ccc(F)cc2)CC1
-5.4,C[C@@H](NC(=O)c1cccs1)c1ccccc1
-5.3,O=S(=O)(NC[C@@H]1CCCO1)c1ccccc1
-5.3,CCN(C1CCCCC1)S(=O)(=O)c1ccc(C)cc1
-6.2,COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
-4.7,COc1ccc(S(=O)(=O)N(CCO)C2CCCCC2)cc1
-5.9,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1
-4.9,COc1ccc(S(=O)(=O)NC(C)(C)C)cc1
-5.7,O=C(c1cccnc1)N1CCc2ccccc21
-5.9,COc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1
-6.1,COc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc1
-6.0,Cc1cc(C)c(S(=O)(=O)NCc2ccncc2)c(C)c1
-7.4,Cc1cccnc1NC(=O)c1cccc(C(=O)Nc2ncccc2C)c1
-5.4,O=S(=O)(Nc1ccncc1)c1ccccc1
-5.6,COC(=O)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1
-5.9,Cc1cccnc1NS(=O)(=O)c1cc(Cl)ccc1Cl
-6.0,CC(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1
-5.2,CCN(C(=O)c1ccccc1F)c1ccccc1
-5.2,O=C(c1ccc(F)cc1)N1CCCCCC1
-5.8,CCc1ccccc1NC(=O)c1ccc(F)cc1
-5.6,COC(=O)c1ccc(C(=O)OC)c(NC(=O)C(C)C)c1
-5.0,CCOC(=O)c1ccccc1NC(=O)C(C)C
-4.9,C[C@@H]1CCCCN1S(=O)(=O)Cc1ccccc1
-5.8,Cc1ccc(C(=O)Nc2ccccn2)cc1C
-5.3,CCOc1ccc(C(=O)N2CCC[C@@H](C)C2)cc1
-5.5,CCOc1ccc(C(=O)Nc2ccccc2OC)cc1
-5.3,Cc1cc(C)cc(NC(=O)c2ccco2)c1
-5.6,COc1cccc(C(=O)N2CCC[C@H](C)C2)c1
-6.0,CC(=O)Nc1ccc(C(=O)N(C)c2ccccc2)cc1
-6.1,CCOC(=O)c1ccc(NC(=O)c2ccc(NC(C)=O)cc2)cc1
-5.6,CC(=O)Nc1ccc(C(=O)NC2CCCCCC2)cc1
-5.7,CC(=O)Nc1ccc(C(=O)NCc2cccnc2)cc1
-5.6,CC(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1
-6.0,CC(=O)Oc1ccccc1C(=O)n1cnc2ccccc21
-5.5,C[C@H]1CN(C(=O)c2cc(Cl)ccc2Cl)C[C@H](C)O1
-5.9,COc1ccccc1CC(=O)Nc1cccc(C)c1C
-5.4,CC[C@H](C)NC(=O)c1ccc2c(c1)OCO2
-5.7,COc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1
-5.3,CCOc1cc(C(=O)NC[C@H]2CCCO2)cc(OCC)c1OCC
-6.1,CCN(Cc1ccccc1)C(=O)c1cc(OC)c(OC)c(OC)c1
-6.1,COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC
-6.6,COc1cccc(NC(=O)C2c3ccccc3Oc3ccccc23)c1
-6.9,Cc1ccnc(NC(=O)C2c3ccccc3Oc3ccccc23)c1
-5.3,O=C(NC1CCCCCC1)N1CCOCC1
-5.7,COc1ccc(C(=O)Nc2ccc(C)cn2)cc1OC
-5.9,Cc1ccc(NC(=O)c2ccc3c(c2)OCO3)nc1
-5.7,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cn2)cc1
-6.2,COc1ccccc1CC(=O)Nc1ccc(C(N)=O)cc1
-6.6,CC(=O)Nc1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
-5.0,CCC[C@@H](C)NC(=O)c1ccccc1Cl
-5.3,CCC[C@H](C)NC(=O)c1ccc(NC(C)=O)cc1
-5.5,CC(C)CCNC(=O)c1ccccc1Cl
-5.7,COC(=O)c1ccc(C(=O)OC)c(NC(=O)COc2ccccc2)c1
-6.1,CC(C)CC(=O)Nc1ccccc1C(F)(F)F
-5.4,O=C(Cc1ccc(Br)cc1)NC[C@@H]1CCCO1
-6.0,C[C@@H]1CCCN(C(=O)Cc2ccc(Cl)cc2)C1
-5.1,CC(C)CC(=O)Nc1ccc(Cl)cn1
-5.5,O=C(Cc1cccs1)Nc1ccccc1F
